filepath,pii_types_found
EclipseDataSpaceConnector/core/common/validator-core/src/main/java/org/eclipse/edc/validator/jsonobject/JsonWalkers.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/validator-core/src/main/java/org/eclipse/edc/validator/jsonobject/validators/MandatoryArray.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/validator-core/src/main/java/org/eclipse/edc/validator/jsonobject/validators/TypeIs.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/validator-core/src/main/java/org/eclipse/edc/validator/jsonobject/validators/model/CriterionValidator.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/validator-core/src/main/java/org/eclipse/edc/validator/jsonobject/validators/model/QuerySpecValidator.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/validator-core/src/test/java/org/eclipse/edc/validator/jsonobject/JsonObjectValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/validator-core/src/test/java/org/eclipse/edc/validator/jsonobject/validators/model/CriterionValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/validator-core/src/test/java/org/eclipse/edc/validator/jsonobject/validators/model/QuerySpecValidatorTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/catalog-core/src/main/java/org/eclipse/edc/connector/catalog/DatasetResolverImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/catalog-core/src/main/java/org/eclipse/edc/connector/catalog/DefaultDistributionResolver.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/catalog-core/src/test/java/org/eclipse/edc/connector/catalog/DatasetResolverImplIntegrationTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/catalog-core/src/test/java/org/eclipse/edc/connector/catalog/DatasetResolverImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/contract-core/src/main/java/org/eclipse/edc/connector/contract/negotiation/AbstractContractNegotiationManager.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/contract-core/src/main/java/org/eclipse/edc/connector/contract/negotiation/ConsumerContractNegotiationManagerImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/contract-core/src/main/java/org/eclipse/edc/connector/contract/negotiation/ProviderContractNegotiationManagerImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/contract-core/src/main/java/org/eclipse/edc/connector/contract/offer/ContractDefinitionResolverImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/contract-core/src/main/java/org/eclipse/edc/connector/contract/policy/PolicyArchiveImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/main/java/org/eclipse/edc/connector/service/catalog/CatalogProtocolServiceImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/main/java/org/eclipse/edc/connector/service/contractnegotiation/ContractNegotiationProtocolServiceImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/main/java/org/eclipse/edc/connector/service/contractnegotiation/ContractNegotiationServiceImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/main/java/org/eclipse/edc/connector/service/query/QueryValidator.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/main/java/org/eclipse/edc/connector/service/transferprocess/TransferProcessProtocolServiceImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/main/java/org/eclipse/edc/connector/service/transferprocess/TransferProcessServiceImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/test/java/org/eclipse/edc/connector/service/asset/AssetServiceImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/test/java/org/eclipse/edc/connector/service/catalog/CatalogProtocolServiceImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/test/java/org/eclipse/edc/connector/service/contractnegotiation/ContractNegotiationProtocolServiceImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/test/java/org/eclipse/edc/connector/service/contractnegotiation/ContractNegotiationServiceImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/test/java/org/eclipse/edc/connector/service/transferprocess/TransferProcessEventDispatchTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/test/java/org/eclipse/edc/connector/service/transferprocess/TransferProcessProtocolServiceImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-aggregate-services/src/test/java/org/eclipse/edc/connector/service/transferprocess/TransferProcessServiceImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-core/src/main/java/org/eclipse/edc/connector/asset/CriterionToAssetPredicateConverterImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-core/src/main/java/org/eclipse/edc/connector/defaults/callback/CallbackRegistryImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-core/src/main/java/org/eclipse/edc/connector/defaults/storage/assetindex/InMemoryAssetIndex.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-core/src/main/java/org/eclipse/edc/connector/defaults/storage/contractdefinition/InMemoryContractDefinitionStore.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-core/src/main/java/org/eclipse/edc/connector/defaults/storage/contractnegotiation/InMemoryContractNegotiationStore.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/control-plane-core/src/test/java/org/eclipse/edc/connector/defaults/callback/CallbackRegistryImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/transfer-core/src/main/java/org/eclipse/edc/connector/transfer/edr/DataAddressToEndpointDataReferenceTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/transfer-core/src/main/java/org/eclipse/edc/connector/transfer/edr/EndpointDataReferenceReceiverRegistryImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/transfer-core/src/main/java/org/eclipse/edc/connector/transfer/flow/DataFlowManagerImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/transfer-core/src/main/java/org/eclipse/edc/connector/transfer/process/TransferProcessManagerImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/transfer-core/src/main/java/org/eclipse/edc/connector/transfer/provision/DeprovisionResponsesHandler.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/control-plane/transfer-core/src/main/java/org/eclipse/edc/connector/transfer/provision/ProvisionResponsesHandler.java,[IP_ADDRESS_6A]
